transaction_id,date_key,store_location,product_category,product_detail,transaction_qty,unit_price,total_amount
42,2023-01-01,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,2,"3,75","7,5"
43,2023-01-01,Lower Manhattan,Bakery,"Scottish Cream Scone ",1,"4,5","4,5"
44,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,1,"2,55","2,55"
45,2023-01-01,Lower Manhattan,Bakery,Oatmeal Scone,1,3,3
46,2023-01-01,Lower Manhattan,Tea,Peppermint Rg,1,"2,5","2,5"
47,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,2,"2,55","5,1"
48,2023-01-01,Lower Manhattan,Tea,English Breakfast Rg,1,"2,5","2,5"
49,2023-01-01,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg,1,"2,5","2,5"
50,2023-01-01,Hell's Kitchen,Tea,Serenity Green Tea Rg,1,"2,5","2,5"
51,2023-01-01,Hell's Kitchen,Coffee,Ethiopia Rg,1,3,3
52,2023-01-01,Lower Manhattan,Tea,Serenity Green Tea Lg,2,3,6
53,2023-01-01,Lower Manhattan,Tea,Lemon Grass Lg,2,3,6
54,2023-01-01,Lower Manhattan,Coffee,Brazilian Sm,2,"2,2","4,4"
55,2023-01-01,Hell's Kitchen,Drinking Chocolate,Dark chocolate Lg,1,"4,5","4,5"
56,2023-01-01,Lower Manhattan,Coffee,Latte,1,"3,75","3,75"
57,2023-01-01,Hell's Kitchen,Tea,Peppermint Lg,1,3,3
58,2023-01-01,Lower Manhattan,Coffee,Jamaican Coffee River Sm,1,"2,45","2,45"
59,2023-01-01,Hell's Kitchen,Coffee,Jamaican Coffee River Lg,2,"3,75","7,5"
60,2023-01-01,Hell's Kitchen,Bakery,Ginger Biscotti,1,"3,5","3,5"
61,2023-01-01,Hell's Kitchen,Tea,Traditional Blend Chai Lg,1,3,3
62,2023-01-01,Hell's Kitchen,Coffee,Cappuccino Lg,2,"4,25","8,5"
63,2023-01-01,Lower Manhattan,Coffee,Cappuccino Lg,1,"4,25","4,25"
64,2023-01-01,Lower Manhattan,Tea,Peppermint Lg,2,3,6
65,2023-01-01,Lower Manhattan,Bakery,Jumbo Savory Scone,1,"3,75","3,75"
66,2023-01-01,Lower Manhattan,Tea,Morning Sunrise Chai Rg,2,"2,5",5
67,2023-01-01,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg,1,3,3
68,2023-01-01,Lower Manhattan,Coffee,Espresso shot,2,3,6
69,2023-01-01,Hell's Kitchen,Coffee,Cappuccino,2,"3,75","7,5"
70,2023-01-01,Lower Manhattan,Coffee,Espresso shot,2,3,6
71,2023-01-01,Lower Manhattan,Bakery,Hazelnut Biscotti,1,"3,25","3,25"
72,2023-01-01,Lower Manhattan,Tea,Earl Grey Rg,1,"2,5","2,5"
73,2023-01-01,Hell's Kitchen,Tea,Serenity Green Tea Lg,1,3,3
74,2023-01-01,Hell's Kitchen,Coffee,Cappuccino,2,"3,75","7,5"
75,2023-01-01,Hell's Kitchen,Bakery,Ginger Scone,1,"3,25","3,25"
76,2023-01-01,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,1,"3,1","3,1"
77,2023-01-01,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg,1,"2,5","2,5"
78,2023-01-01,Lower Manhattan,Tea,Lemon Grass Lg,2,3,6
79,2023-01-01,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm,1,2,2
80,2023-01-01,Hell's Kitchen,Coffee,Ethiopia Rg,2,3,6
81,2023-01-01,Hell's Kitchen,Coffee,Jamaican Coffee River Lg,2,"3,75","7,5"
82,2023-01-01,Lower Manhattan,Coffee,Brazilian Rg,1,3,3
83,2023-01-01,Lower Manhattan,Bakery,Chocolate Croissant,1,"3,75","3,75"
84,2023-01-01,Lower Manhattan,Coffee,Ethiopia Rg,2,3,6
85,2023-01-01,Hell's Kitchen,Tea,Morning Sunrise Chai Rg,1,"2,5","2,5"
86,2023-01-01,Hell's Kitchen,Coffee,Cappuccino Lg,2,"4,25","8,5"
87,2023-01-01,Lower Manhattan,Coffee,Brazilian Sm,2,"2,2","4,4"
88,2023-01-01,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg,2,"2,5",5
89,2023-01-01,Hell's Kitchen,Tea,Morning Sunrise Chai Rg,1,"2,5","2,5"
90,2023-01-01,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg,2,"2,55","5,1"
91,2023-01-01,Lower Manhattan,Drinking Chocolate,Dark chocolate Rg,2,"3,5",7
92,2023-01-01,Lower Manhattan,Bakery,Ginger Biscotti,1,"3,5","3,5"
93,2023-01-01,Hell's Kitchen,Tea,Serenity Green Tea Lg,2,3,6
94,2023-01-01,Lower Manhattan,Coffee,Jamaican Coffee River Rg,1,"3,1","3,1"
95,2023-01-01,Lower Manhattan,Bakery,Cranberry Scone,1,"3,25","3,25"
96,2023-01-01,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,1,"3,75","3,75"
97,2023-01-01,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg,1,"4,5","4,5"
98,2023-01-01,Lower Manhattan,Coffee,Jamaican Coffee River Lg,2,"3,75","7,5"
99,2023-01-01,Hell's Kitchen,Tea,Earl Grey Lg,2,3,6
100,2023-01-01,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,2,"4,75","9,5"
101,2023-01-01,Lower Manhattan,Tea,Serenity Green Tea Lg,1,3,3
102,2023-01-01,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg,2,"2,5",5
103,2023-01-01,Hell's Kitchen,Bakery,Almond Croissant,1,"3,75","3,75"
104,2023-01-01,Lower Manhattan,Coffee,Latte,1,"3,75","3,75"
105,2023-01-01,Lower Manhattan,Bakery,Chocolate Chip Biscotti,1,"3,5","3,5"
106,2023-01-01,Astoria,Coffee,Our Old Time Diner Blend Sm,1,2,2
107,2023-01-01,Astoria,Coffee,Latte,1,"3,75","3,75"
108,2023-01-01,Astoria,Bakery,Croissant,1,"3,5","3,5"
109,2023-01-01,Lower Manhattan,Tea,Serenity Green Tea Lg,2,3,6
110,2023-01-01,Lower Manhattan,Bakery,Croissant,1,"3,5","3,5"
111,2023-01-01,Hell's Kitchen,Coffee,Latte Rg,2,"4,25","8,5"
112,2023-01-01,Astoria,Drinking Chocolate,Dark chocolate Lg,1,"4,5","4,5"
113,2023-01-01,Hell's Kitchen,Tea,Earl Grey Lg,2,3,6
114,2023-01-01,Astoria,Drinking Chocolate,Dark chocolate Lg,1,"4,5","4,5"
115,2023-01-01,Astoria,Tea,Serenity Green Tea Lg,1,3,3
116,2023-01-01,Astoria,Bakery,Jumbo Savory Scone,1,"3,75","3,75"
117,2023-01-01,Astoria,Tea,Serenity Green Tea Rg,1,"2,5","2,5"
118,2023-01-01,Astoria,Tea,Lemon Grass Lg,1,3,3
119,2023-01-01,Astoria,Tea,Peppermint Lg,2,3,6
120,2023-01-01,Hell's Kitchen,Tea,Morning Sunrise Chai Rg,2,"2,5",5
121,2023-01-01,Lower Manhattan,Tea,Earl Grey Lg,2,3,6
122,2023-01-01,Astoria,Drinking Chocolate,Sustainably Grown Organic Rg,1,"3,75","3,75"
123,2023-01-01,Hell's Kitchen,Coffee,Ethiopia Sm,1,"2,2","2,2"
124,2023-01-01,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,2,"3,75","7,5"
125,2023-01-01,Lower Manhattan,Bakery,Oatmeal Scone,1,3,3
126,2023-01-01,Astoria,Tea,English Breakfast Lg,2,3,6
127,2023-01-01,Lower Manhattan,Coffee,Cappuccino,2,"3,75","7,5"
128,2023-01-01,Hell's Kitchen,Tea,Peppermint Rg,2,"2,5",5
129,2023-01-01,Astoria,Coffee,Ethiopia Lg,2,"3,5",7
130,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,2,"2,55","5,1"
131,2023-01-01,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,2,"3,1","6,2"
132,2023-01-01,Hell's Kitchen,Bakery,"Scottish Cream Scone ",1,"4,5","4,5"
133,2023-01-01,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg,1,"2,5","2,5"
134,2023-01-01,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg,1,3,3
135,2023-01-01,Lower Manhattan,Tea,Earl Grey Lg,2,3,6
136,2023-01-01,Lower Manhattan,Bakery,Ginger Scone,1,"3,25","3,25"
137,2023-01-01,Lower Manhattan,Tea,Morning Sunrise Chai Rg,2,"2,5",5
138,2023-01-01,Lower Manhattan,Bakery,Croissant,1,"3,5","3,5"
139,2023-01-01,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,1,"3,75","3,75"
140,2023-01-01,Lower Manhattan,Bakery,Chocolate Croissant,1,"3,75","3,75"
141,2023-01-01,Astoria,Tea,Traditional Blend Chai Rg,2,"2,5",5
142,2023-01-01,Astoria,Coffee,Brazilian Sm,2,"2,2","4,4"
143,2023-01-01,Lower Manhattan,Coffee,Latte,1,"3,75","3,75"
144,2023-01-01,Astoria,Coffee,Columbian Medium Roast Lg,1,3,3
145,2023-01-01,Hell's Kitchen,Tea,Earl Grey Rg,2,"2,5",5
146,2023-01-01,Hell's Kitchen,Tea,Morning Sunrise Chai Rg,1,"2,5","2,5"
147,2023-01-01,Hell's Kitchen,Bakery,Ginger Scone,1,"3,25","3,25"
148,2023-01-01,Astoria,Coffee,Brazilian Rg,2,3,6
149,2023-01-01,Astoria,Coffee,Jamaican Coffee River Lg,2,"3,75","7,5"
150,2023-01-01,Lower Manhattan,Tea,Peppermint Lg,2,3,6
151,2023-01-01,Hell's Kitchen,Coffee,Ethiopia Lg,2,"3,5",7
152,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,1,"3,1","3,1"
153,2023-01-01,Astoria,Coffee,Espresso shot,2,3,6
154,2023-01-01,Astoria,Tea,Earl Grey Rg,1,"2,5","2,5"
155,2023-01-01,Astoria,Bakery,Jumbo Savory Scone,1,"3,75","3,75"
156,2023-01-01,Astoria,Drinking Chocolate,Sustainably Grown Organic Rg,2,"3,75","7,5"
157,2023-01-01,Lower Manhattan,Coffee,Columbian Medium Roast Rg,1,"2,5","2,5"
158,2023-01-01,Astoria,Tea,English Breakfast Lg,2,3,6
159,2023-01-01,Astoria,Coffee,Jamaican Coffee River Rg,2,"3,1","6,2"
160,2023-01-01,Astoria,Bakery,Croissant,1,"3,5","3,5"
161,2023-01-01,Hell's Kitchen,Coffee,Jamaican Coffee River Lg,1,"3,75","3,75"
162,2023-01-01,Hell's Kitchen,Tea,Serenity Green Tea Lg,1,3,3
163,2023-01-01,Astoria,Tea,Peppermint Rg,1,"2,5","2,5"
164,2023-01-01,Hell's Kitchen,Coffee,Brazilian Lg,2,"3,5",7
165,2023-01-01,Astoria,Tea,Traditional Blend Chai Rg,2,"2,5",5
166,2023-01-01,Lower Manhattan,Tea,Serenity Green Tea Rg,1,"2,5","2,5"
167,2023-01-01,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg,1,3,3
168,2023-01-01,Lower Manhattan,Tea,Lemon Grass Lg,1,3,3
169,2023-01-01,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,1,"3,1","3,1"
170,2023-01-01,Astoria,Coffee,Columbian Medium Roast Sm,2,2,4
171,2023-01-01,Hell's Kitchen,Tea,Earl Grey Rg,2,"2,5",5
172,2023-01-01,Lower Manhattan,Coffee,Latte,2,"3,75","7,5"
173,2023-01-01,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,2,"3,1","6,2"
174,2023-01-01,Hell's Kitchen,Tea,Earl Grey Rg,2,"2,5",5
175,2023-01-01,Lower Manhattan,Coffee,Brazilian Sm,2,"2,2","4,4"
176,2023-01-01,Astoria,Tea,English Breakfast Lg,2,3,6
177,2023-01-01,Astoria,Drinking Chocolate,Sustainably Grown Organic Rg,2,"3,75","7,5"
178,2023-01-01,Astoria,Coffee,Our Old Time Diner Blend Lg,1,3,3
179,2023-01-01,Lower Manhattan,Coffee,Cappuccino Lg,2,"4,25","8,5"
180,2023-01-01,Astoria,Tea,Peppermint Rg,2,"2,5",5
181,2023-01-01,Hell's Kitchen,Coffee,Latte,1,"3,75","3,75"
182,2023-01-01,Astoria,Tea,Morning Sunrise Chai Rg,2,"2,5",5
183,2023-01-01,Astoria,Coffee,Columbian Medium Roast Rg,2,"2,5",5
184,2023-01-01,Lower Manhattan,Coffee,Ethiopia Sm,2,"2,2","4,4"
185,2023-01-01,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,1,"3,75","3,75"
186,2023-01-01,Hell's Kitchen,Tea,English Breakfast Lg,2,3,6
187,2023-01-01,Astoria,Tea,Traditional Blend Chai Lg,1,3,3
188,2023-01-01,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,1,"3,75","3,75"
189,2023-01-01,Astoria,Tea,Traditional Blend Chai Lg,1,3,3
190,2023-01-01,Astoria,Tea,Traditional Blend Chai Rg,1,"2,5","2,5"
191,2023-01-01,Astoria,Coffee,Columbian Medium Roast Sm,2,2,4
192,2023-01-01,Astoria,Tea,Spicy Eye Opener Chai Rg,1,"2,55","2,55"
193,2023-01-01,Astoria,Coffee,Our Old Time Diner Blend Rg,1,"2,5","2,5"
194,2023-01-01,Astoria,Coffee,Ethiopia Lg,1,"3,5","3,5"
195,2023-01-01,Astoria,Bakery,Croissant,1,"3,5","3,5"
196,2023-01-01,Astoria,Coffee,Latte,2,"3,75","7,5"
197,2023-01-01,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,1,3,3
198,2023-01-01,Astoria,Drinking Chocolate,Dark chocolate Lg,1,"4,5","4,5"
199,2023-01-01,Astoria,Coffee,Ethiopia Rg,2,3,6
200,2023-01-01,Hell's Kitchen,Tea,Traditional Blend Chai Lg,1,3,3
201,2023-01-01,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,1,"4,75","4,75"
202,2023-01-01,Lower Manhattan,Bakery,Ginger Scone,1,"3,25","3,25"
203,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,1,"2,55","2,55"
204,2023-01-01,Lower Manhattan,Bakery,Croissant,1,"3,5","3,5"
205,2023-01-01,Hell's Kitchen,Coffee,Columbian Medium Roast Rg,2,"2,5",5
206,2023-01-01,Hell's Kitchen,Coffee,Espresso shot,1,3,3
207,2023-01-01,Astoria,Tea,English Breakfast Lg,1,3,3
208,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,1,"3,1","3,1"
209,2023-01-01,Lower Manhattan,Bakery,Croissant,1,"3,5","3,5"
210,2023-01-01,Hell's Kitchen,Tea,Peppermint Lg,1,3,3
211,2023-01-01,Hell's Kitchen,Coffee,Brazilian Rg,2,3,6
212,2023-01-01,Astoria,Drinking Chocolate,Sustainably Grown Organic Lg,1,"4,75","4,75"
213,2023-01-01,Astoria,Tea,Serenity Green Tea Lg,1,3,3
214,2023-01-01,Astoria,Tea,Peppermint Rg,2,"2,5",5
215,2023-01-01,Hell's Kitchen,Coffee,Jamaican Coffee River Lg,1,"3,75","3,75"
216,2023-01-01,Lower Manhattan,Coffee,Columbian Medium Roast Lg,2,3,6
217,2023-01-01,Lower Manhattan,Coffee,Brazilian Sm,2,"2,2","4,4"
218,2023-01-01,Hell's Kitchen,Tea,English Breakfast Lg,1,3,3
219,2023-01-01,Hell's Kitchen,Bakery,"Scottish Cream Scone ",1,"4,5","4,5"
220,2023-01-01,Hell's Kitchen,Coffee,Brazilian Rg,1,3,3
221,2023-01-01,Astoria,Tea,Lemon Grass Lg,2,3,6
222,2023-01-01,Hell's Kitchen,Coffee,Brazilian Sm,2,"2,2","4,4"
223,2023-01-01,Hell's Kitchen,Bakery,Ginger Scone,1,"3,25","3,25"
224,2023-01-01,Hell's Kitchen,Tea,Lemon Grass Rg,2,"2,5",5
225,2023-01-01,Hell's Kitchen,Tea,Morning Sunrise Chai Rg,2,"2,5",5
226,2023-01-01,Astoria,Coffee,Our Old Time Diner Blend Sm,1,2,2
227,2023-01-01,Astoria,Drinking Chocolate,Dark chocolate Rg,1,"3,5","3,5"
228,2023-01-01,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg,2,3,6
229,2023-01-01,Astoria,Coffee,Jamaican Coffee River Rg,1,"3,1","3,1"
230,2023-01-01,Lower Manhattan,Coffee,Columbian Medium Roast Lg,2,3,6
231,2023-01-01,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,1,"3,75","3,75"
232,2023-01-01,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg,1,"2,55","2,55"
233,2023-01-01,Astoria,Tea,Morning Sunrise Chai Lg,2,4,8
234,2023-01-01,Hell's Kitchen,Tea,English Breakfast Lg,2,3,6
235,2023-01-01,Hell's Kitchen,Tea,Morning Sunrise Chai Lg,1,4,4
236,2023-01-01,Hell's Kitchen,Bakery,Croissant,1,"3,5","3,5"
237,2023-01-01,Astoria,Coffee,Our Old Time Diner Blend Rg,1,"2,5","2,5"
238,2023-01-01,Hell's Kitchen,Coffee,Ethiopia Sm,2,"2,2","4,4"
239,2023-01-01,Astoria,Coffee,Jamaican Coffee River Rg,2,"3,1","6,2"
240,2023-01-01,Astoria,Coffee,Latte,2,"3,75","7,5"
241,2023-01-01,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg,1,"2,5","2,5"
242,2023-01-01,Astoria,Tea,Serenity Green Tea Rg,2,"2,5",5
243,2023-01-01,Astoria,Drinking Chocolate,Dark chocolate Rg,2,"3,5",7
244,2023-01-01,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,2,"3,75","7,5"
245,2023-01-01,Lower Manhattan,Coffee,Ethiopia Sm,2,"2,2","4,4"
246,2023-01-01,Lower Manhattan,Coffee,Brazilian Sm,2,"2,2","4,4"
247,2023-01-01,Lower Manhattan,Coffee,Ouro Brasileiro shot,1,3,3
248,2023-01-01,Astoria,Coffee,Columbian Medium Roast Sm,2,2,4
249,2023-01-01,Hell's Kitchen,Coffee,Brazilian Lg,1,"3,5","3,5"
250,2023-01-01,Hell's Kitchen,Coffee,Cappuccino,2,"3,75","7,5"
251,2023-01-01,Lower Manhattan,Tea,Earl Grey Lg,1,3,3
252,2023-01-01,Astoria,Tea,Morning Sunrise Chai Rg,2,"2,5",5
253,2023-01-01,Astoria,Tea,Lemon Grass Rg,2,"2,5",5
254,2023-01-01,Astoria,Tea,Lemon Grass Lg,1,3,3
255,2023-01-01,Lower Manhattan,Coffee,Jamaican Coffee River Lg,1,"3,75","3,75"
256,2023-01-01,Lower Manhattan,Tea,Traditional Blend Chai Rg,1,"2,5","2,5"
257,2023-01-01,Lower Manhattan,Bakery,Ginger Scone,1,"3,25","3,25"
258,2023-01-01,Astoria,Tea,Morning Sunrise Chai Rg,2,"2,5",5
259,2023-01-01,Astoria,Bakery,Hazelnut Biscotti,1,"3,25","3,25"
260,2023-01-01,Lower Manhattan,Coffee,Brazilian Sm,2,"2,2","4,4"
261,2023-01-01,Astoria,Tea,Spicy Eye Opener Chai Lg,1,"3,1","3,1"
262,2023-01-01,Hell's Kitchen,Coffee,Cappuccino,1,"3,75","3,75"
263,2023-01-01,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm,2,2,4
264,2023-01-01,Lower Manhattan,Tea,Traditional Blend Chai Lg,1,3,3
265,2023-01-01,Hell's Kitchen,Tea,Morning Sunrise Chai Rg,2,"2,5",5
266,2023-01-01,Hell's Kitchen,Coffee,Ethiopia Rg,2,3,6
267,2023-01-01,Astoria,Coffee,Latte,2,"3,75","7,5"
268,2023-01-01,Hell's Kitchen,Coffee,Ethiopia Lg,1,"3,5","3,5"
269,2023-01-01,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm,2,2,4
270,2023-01-01,Lower Manhattan,Tea,Lemon Grass Rg,1,"2,5","2,5"
271,2023-01-01,Hell's Kitchen,Tea,Peppermint Lg,2,3,6
272,2023-01-01,Hell's Kitchen,Tea,English Breakfast Rg,2,"2,5",5
273,2023-01-01,Hell's Kitchen,Tea,Traditional Blend Chai Lg,1,3,3
274,2023-01-01,Lower Manhattan,Coffee,Brazilian Lg,2,"3,5",7
275,2023-01-01,Lower Manhattan,Bakery,Chocolate Croissant,1,"3,75","3,75"
276,2023-01-01,Astoria,Tea,Serenity Green Tea Rg,2,"2,5",5
277,2023-01-01,Lower Manhattan,Coffee,Jamaican Coffee River Sm,1,"2,45","2,45"
278,2023-01-01,Lower Manhattan,Coffee,Latte Rg,2,"4,25","8,5"
279,2023-01-01,Lower Manhattan,Coffee,Brazilian Sm,2,"2,2","4,4"
280,2023-01-01,Lower Manhattan,Bakery,Hazelnut Biscotti,1,"3,25","3,25"
281,2023-01-01,Astoria,Coffee,Ethiopia Rg,1,3,3
282,2023-01-01,Astoria,Coffee,Cappuccino Lg,2,"4,25","8,5"
283,2023-01-01,Astoria,Coffee,Our Old Time Diner Blend Rg,1,"2,5","2,5"
284,2023-01-01,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg,1,3,3
285,2023-01-01,Hell's Kitchen,Bakery,Chocolate Croissant,1,"3,75","3,75"
286,2023-01-01,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,2,"3,75","7,5"
287,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,2,"3,1","6,2"
288,2023-01-01,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg,2,"2,5",5
289,2023-01-01,Astoria,Coffee,Jamaican Coffee River Rg,2,"3,1","6,2"
290,2023-01-01,Astoria,Tea,Lemon Grass Rg,2,"2,5",5
291,2023-01-01,Hell's Kitchen,Tea,English Breakfast Lg,2,3,6
292,2023-01-01,Lower Manhattan,Coffee,Latte Rg,2,"4,25","8,5"
293,2023-01-01,Hell's Kitchen,Tea,Morning Sunrise Chai Lg,1,4,4
294,2023-01-01,Hell's Kitchen,Bakery,Chocolate Croissant,1,"3,75","3,75"
295,2023-01-01,Astoria,Coffee,Cappuccino Lg,2,"4,25","8,5"
296,2023-01-01,Astoria,Bakery,Jumbo Savory Scone,1,"3,75","3,75"
297,2023-01-01,Astoria,Drinking Chocolate,Dark chocolate Rg,2,"3,5",7
298,2023-01-01,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg,2,3,6
299,2023-01-01,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg,1,"4,75","4,75"
300,2023-01-01,Lower Manhattan,Tea,Peppermint Lg,2,3,6
301,2023-01-01,Lower Manhattan,Tea,English Breakfast Lg,2,3,6
302,2023-01-01,Lower Manhattan,Bakery,"Scottish Cream Scone ",1,"4,5","4,5"
303,2023-01-01,Hell's Kitchen,Tea,English Breakfast Rg,1,"2,5","2,5"
304,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,1,"3,1","3,1"
305,2023-01-01,Lower Manhattan,Tea,Lemon Grass Rg,1,"2,5","2,5"
306,2023-01-01,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,2,3,6
307,2023-01-01,Lower Manhattan,Coffee,Cappuccino Lg,2,"4,25","8,5"
308,2023-01-01,Hell's Kitchen,Coffee,Latte Rg,2,"4,25","8,5"
309,2023-01-01,Astoria,Tea,Morning Sunrise Chai Lg,1,4,4
310,2023-01-01,Astoria,Coffee,Columbian Medium Roast Lg,2,3,6
311,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,1,"3,1","3,1"
312,2023-01-01,Lower Manhattan,Tea,Peppermint Rg,1,"2,5","2,5"
313,2023-01-01,Lower Manhattan,Coffee,Ouro Brasileiro shot,1,3,3
314,2023-01-01,Hell's Kitchen,Coffee,Jamaican Coffee River Sm,2,"2,45","4,9"
315,2023-01-01,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,2,"4,75","9,5"
316,2023-01-01,Astoria,Tea,Earl Grey Rg,2,"2,5",5
317,2023-01-01,Astoria,Tea,Serenity Green Tea Lg,1,3,3
